,Customer ID,Customer Name,Segment,City,Delivery,Payment,Application Experience,Website Experience,Customer_Care Service,Return/Exchange
0,LS-001,Lane Daniels,Consumer,Tralee,3,1,2,3,3,2
1,IZ-002,Alvarado Kriz,Home Office,An Cabhan,3,1,2,2,3,2
2,EN-003,Moon Weien,Consumer,Clonmel,3,1,3,1,1,3
3,AN-004,Sanchez Bergman,Corporate,Tralee,1,3,3,3,1,3
4,ON-005,Rowe Jackson,Corporate,Tralee,2,3,3,2,2,2
5,TO-006,Carter Barreto,Corporate,Galway,3,1,3,2,1,3
6,OM-007,Mcconnell Tom,Consumer,Kilkenny,2,3,3,2,2,3
7,AN-008,Dennis Holloman,Corporate,Dun Dealgan,1,3,3,3,2,3
8,EN-009,Wall Olsen,Consumer,Mullingar,2,2,3,3,1,1
9,TT-0010,Shepard Witt,Consumer,Trim,3,3,1,3,1,3
10,ED-0011,Johns Reed,Corporate,Dunleary,2,3,1,1,3,1
11,ON-0012,Doyle Knutson,Home Office,Drogheda,1,1,3,3,2,1
12,WN-0013,Butler Brown,Corporate,Monaghan,3,3,3,3,3,1
13,AN-0014,Johnson Abelman,Corporate,Lifford,3,3,3,2,1,2
14,EY-0015,Greene Decherney,Consumer,Waterford,1,3,3,3,3,2
15,RN-0016,Bentley Zypern,Consumer,Limerick,3,1,3,1,1,1
16,CK-0017,Rivera Black,Consumer,Tralee,1,1,3,3,2,2
17,RE-0018,Wong Macintyre,Consumer,Blackrock,1,1,3,2,1,2
18,ON-0019,Hendricks Wilson,Consumer,Dublin,3,3,3,2,2,2
19,ED-0020,Johns Reed,Corporate,Wicklow,2,2,2,1,2,1
20,AM-0021,Barr Sundaresam,Consumer,Carrick on Shannon,3,1,2,3,3,1
21,KE-0022,Holt Glocke,Corporate,Carrick on Shannon,2,3,3,2,2,1
22,LL-0023,Gaines O'Carroll,Consumer,Castlebar,1,1,2,2,1,1
23,CO-0024,Copeland Lomonaco,Corporate,Naas,3,3,1,3,2,1
24,NA-0025,Vasquez Dona,Consumer,Carrick on Shannon,1,3,2,2,1,2
25,LL-0026,Freeman Castell,Corporate,Drogheda,3,1,3,1,3,2
26,LE-0027,Reid Engle,Home Office,Dublin,2,3,3,3,2,1
27,NG-0028,Harris Armstrong,Corporate,Galway,1,1,2,1,2,2
28,ED-0029,Everett Sweed,Consumer,Dun Dealgan,3,1,1,1,2,1
29,AS-0030,Poole Lucas,Corporate,Ennis,1,1,3,1,3,2
30,WN-0031,Gonzales Brown,Consumer,Wicklow,2,2,1,2,2,2
31,AN-0032,Perry Brennan,Consumer,Nenagh,3,1,3,2,3,3
32,KI-0033,Garner Hirasaki,Consumer,Swords,2,3,3,3,2,1
33,EE-0034,Norton Magee,Corporate,Wicklow,1,3,3,1,2,1
34,ON-0035,Bean Thompson,Corporate,Tallaght,1,2,2,2,1,2
35,SH-0036,Bond Overcash,Consumer,Lifford,3,3,2,3,3,3
36,KE-0037,Holt Glocke,Corporate,Mullingar,3,1,2,1,1,2
37,YD-0038,Moran Lloyd,Consumer,Tullamore,1,3,3,1,2,3
38,MS-0039,Jones Adams,Home Office,Clonmel,3,1,3,3,2,1
39,RE-0040,Wong Macintyre,Consumer,An Cabhan,1,3,2,1,3,1
40,ER-0041,Strong Schoenberger,Corporate,Carlow,1,1,3,1,3,2
41,IN-0042,Terrell Zeldin,Consumer,Dun Dealgan,2,2,3,1,2,3
42,EN-0043,Reyes Christensen,Consumer,Ros Comain,2,2,2,1,3,3
43,DI-0044,Dean Etezadi,Consumer,Clonmel,3,3,2,3,1,3
44,TT-0045,Hess Prescott,Home Office,Monaghan,2,2,3,3,3,3
45,ER-0046,Russo Webber,Consumer,Nenagh,3,3,1,2,2,2
46,CH-0047,Kerr Toch,Corporate,Tullamore,3,2,1,2,1,1
47,CK-0048,Anthony Myrick,Consumer,Cork,3,1,3,1,2,3
48,TT-0049,Fuller Eplett,Corporate,Dunleary,3,1,2,1,1,3
49,RS-0050,Hernandez Badders,Home Office,Naas,1,1,3,1,3,3
50,AN-0051,Smith Abelman,Consumer,Tallaght,2,1,3,3,2,3
51,LE-0052,Mcdowell Roelle,Consumer,Drogheda,1,3,1,2,3,1
52,IS-0053,Humphrey Preis,Home Office,Nenagh,2,3,3,3,2,2
53,LY-0054,Winters Shonely,Consumer,Ennis,1,2,3,2,1,3
54,NT-0055,Heath O'Briant,Home Office,Dunleary,2,3,1,1,1,1
55,IE-0056,Clayton Marie,Consumer,Naas,2,1,2,1,1,2
56,SS-0057,Steele Gross,Consumer,Ros Comain,2,1,2,1,2,1
57,ON-0058,Trujillo Sheldon,Consumer,Sligo,2,3,3,1,2,1
58,EN-0059,Kelly Braden,Corporate,Dun Dealgan,2,1,2,2,3,1
59,ON-0060,Yates Johnson,Consumer,Limerick,2,2,2,1,1,1
60,KS-0061,Flores Brooks,Home Office,Dun Dealgan,2,3,2,1,2,2
61,ON-0062,Sellers Stevenson,Consumer,Naas,3,1,3,2,3,2
62,EY-0063,Carpenter Decherney,Corporate,Drogheda,2,1,2,3,1,3
63,ED-0064,Johns Reed,Corporate,Waterford,2,1,2,3,2,1
64,RE-0065,Knox Sayre,Consumer,Dublin,2,2,3,3,3,2
65,LL-0066,Leblanc Spruell,Consumer,Waterford,2,3,2,3,1,1
66,SS-0067,Berg Weiss,Home Office,Clonmel,2,1,2,3,2,3
67,EN-0068,Kelly Braden,Corporate,Clonmel,1,2,1,2,3,2
68,LO-0069,Sanford Zydlo,Corporate,Lifford,3,3,1,3,1,3
69,ER-0070,Russo Webber,Consumer,Ennis,3,2,3,1,2,1
70,NT-0071,Ferguson Conant,Corporate,Tullamore,3,3,3,3,3,2
71,ON-0072,Santiago Grayson,Corporate,Clonmel,1,1,1,2,2,1
72,RT-0073,Foley Stewart,Consumer,Carlow,2,2,3,3,2,3
73,EP-0074,Dorsey Prichep,Home Office,Waterford,2,2,2,2,3,3
74,AN-0075,Miranda Ryan,Home Office,Tallaght,3,1,2,2,1,1
75,CH-0076,Parsons Leinenbach,Corporate,Sligo,3,3,2,1,1,3
76,NN-0077,Bruce Nunn,Home Office,An Cabhan,3,2,1,3,1,2
77,ON-0078,Sherman Knutson,Corporate,Mullingar,1,2,1,3,3,3
78,LL-0079,Gibson Carroll,Consumer,Sligo,1,3,1,1,2,2
79,NS-0080,Perkins Cousins,Consumer,Port Laoise,3,1,2,2,2,3
80,NA-0081,Vasquez Dona,Consumer,Nenagh,2,2,1,3,2,3
81,SH-0082,Mann Hirsh,Corporate,Dublin,3,2,3,3,3,2
82,ER-0083,Golden Ritter,Consumer,Ros Comain,2,2,2,3,1,3
83,ON-0084,Walton Jackson,Consumer,Trim,2,2,3,2,3,3
84,NI-0085,Blanchard Vittorini,Consumer,Carrick on Shannon,3,3,1,2,2,3
85,LE-0086,Tucker Caudle,Consumer,Swords,1,3,2,3,1,3
86,EN-0087,Hodge Moren,Consumer,Naas,2,1,1,3,3,3
87,EN-0088,Duncan Dahlen,Home Office,Carrick on Shannon,3,1,3,3,1,1
88,ER-0089,Estrada Kiefer,Consumer,Carlow,1,2,1,3,2,2
